Name,organism,country,city/state,county,isolation_source,host,collection_date, ,species,group
KX547303,West Nile virus,USA,NY,Weschester county,,culex sp.,38560,"    Direct Submission
  ",mosquito,Culex
KX547306,West Nile virus,USA,NY,Weschester county,,culex sp.,40058,"    Direct Submission
  ",mosquito,Culex
KX547310,West Nile virus,USA,NY,Weschester county,,culex sp.,37859,"    Direct Submission
  ",mosquito,Culex
KX547316,West Nile virus,USA,NY,Weschester county,,culex sp.,37147,"    Direct Submission
  ",mosquito,Culex
KX547323,West Nile virus,USA,NY,Weschester county,,culex sp.,41486,"    Direct Submission
  ",mosquito,Culex
KX547349,West Nile virus,USA,NY,Weschester county,,culex sp.,38960,"    Direct Submission
  ",mosquito,Culex
KX547369,West Nile virus,USA,NY,Weschester county,,culex sp.,40780,"    Direct Submission
  ",mosquito,Culex
KX547442,West Nile virus,USA,NY,Weschester county,,culex sp.,40421,"    Direct Submission
  ",mosquito,Culex
KX547464,West Nile virus,USA,NY,Weschester county,,culex sp.,40072,"    Direct Submission
  ",mosquito,Culex
KX547465,West Nile virus,USA,NY,Weschester county,,culex sp.,41486,"    Direct Submission
  ",mosquito,Culex
KX547492,West Nile virus,USA,NY,Weschester county,,culex sp.,37525,"    Direct Submission
  ",mosquito,Culex
KX547495,West Nile virus,USA,NY,Weschester county,,culex sp.,40745,"    Direct Submission
  ",mosquito,Culex
KX547509,West Nile virus,USA,NY,Weschester county,,culex sp.,37481,"    Direct Submission
  ",mosquito,Culex
KX547519,West Nile virus,USA,NY,Weschester county,,culex sp.,36770,"    Direct Submission
  ",mosquito,Culex
KX547520,West Nile virus,USA,NY,Weschester county,,culex sp.,41163,"    Direct Submission
  ",mosquito,Culex
KX547524,West Nile virus,USA,NY,Weschester county,,culex sp.,41507,"    Direct Submission
  ",mosquito,Culex
KX547543,West Nile virus,USA,NY,Weschester county,,culex sp.,39330,"    Direct Submission
  ",mosquito,Culex
KX547599,West Nile virus,USA,NY,Weschester county,,culex sp.,38624,"    Direct Submission
  ",mosquito,Culex
KX547602,West Nile virus,USA,NY,Weschester county,,culex sp.,36770,"    Direct Submission
  ",mosquito,Culex
DQ164188,West Nile virus,USA,NY,Westchester,,american crow,2003,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,American Crow
KX547446,West Nile virus,USA,NY,Wyoming county,,corvus brachyrhynchos,38145,"    Direct Submission
  ",bird,American Crow
KX547459,West Nile virus,USA,NY,Wyoming county,,corvus brachyrhynchos,37525,"    Direct Submission
  ",bird,American Crow
W228,,,CA,Alameda,,culex tarsalis,42207,,mosquito,Culex
KX547263,West Nile virus,USA,NY,Albany county,,cardinalis cardinalis,37515,"    Direct Submission
  ",bird,Passeriformes
KX547168,West Nile virus,USA,NY,Albany county,,carpodacus mexicanus,41179,"    Direct Submission
  ",bird,Passeriformes
KX547187,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,39688,"    Direct Submission
  ",bird,American Crow
KX547270,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,38952,"    Direct Submission
  ",bird,American Crow
KX547278,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,41169,"    Direct Submission
  ",bird,American Crow
KX547305,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,37493,"    Direct Submission
  ",bird,American Crow
KX547346,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,38156,"    Direct Submission
  ",bird,American Crow
KX547404,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,39678,"    Direct Submission
  ",bird,American Crow
KX547523,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,38549,"    Direct Submission
  ",bird,American Crow
KX547568,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,40410,"    Direct Submission
  ",bird,American Crow
KX547585,West Nile virus,USA,NY,Albany county,,corvus brachyrhynchos,40058,"    Direct Submission
  ",bird,American Crow
KX547592,West Nile virus,USA,NY,Albany county,,culex sp.,37855,"    Direct Submission
  ",mosquito,Culex
KX547355,West Nile virus,USA,NY,Albany county,,cyanocitta cristata,38608,"    Direct Submission
  ",bird,Blue Jay
KX547311,West Nile virus,USA,NY,Albany county,,sciurus carolinensis,37889,"    Direct Submission
  ",other_species,
KX547474,West Nile virus,USA,NY,Albany county,,sciurus carolinensis,37540,"    Direct Submission
  ",other_species,
KX547609,West Nile virus,USA,NY,Albany county,,sciurus carolinensis,37889,"    Direct Submission
  ",other_species,
W1385,,,MN,Anoka,,crow,37476,,bird,Passeriformes
W1401,,,MN,Anoka,,crow,37475,,bird,Passeriformes
W1417,,,MN,Anoka,,,37819,,,
W1433,,,MN,Anoka,,,37823,,,
W1443,,,MN,Anoka,,,38163,,,
W1453,,,MN,Anoka,,,38175,,,
W1466,,,MN,Anoka,,,38183,,,
W1482,,,MN,Anoka,,,38565,,,
W1489,,,MN,Anoka,,,38567,,,
DQ080053,,,AZ,Apache County,,culex tarsalis,2003,,mosquito,Culex
W1334,,,LA,Ascension,,culex quinq.,43333,,mosquito,Culex
W1344,,,LA,Ascension,,culex quinq.,43334,,mosquito,Culex
AY289214,West Nile virus,USA,TX,Beaumont,,human,2002,"    Characterization of a West Nile virus isolate from a human on the
            Gulf Coast of Texas
  ",human,
W1470,,,MN,Beltrami,,,38182,,,
W1411,,,MN,Benton,,crow,37475,,bird,Passeriformes
W0933,,,OR,Benton,,,2010,,,
W1395,,,MN,Big Stone,,crow,37475,,bird,Passeriformes
W1886,,,IA,Black Hawk,,culex pipiens,44067,,mosquito,Culex
W1893,,,IA,Black Hawk,,culex pipiens,44074,,mosquito,Culex
W1888,,,IA,Black Hawk,,culex restuans,44067,,mosquito,Culex
W1993,,,IA,Black Hawk,,culex restuans,42954,,mosquito,Culex
W2001,,,IA,Black Hawk,,culex restuans,42975,,mosquito,Culex
W2016,,,IA,Black Hawk,,culex restuans,42989,,mosquito,Culex
W2017,,,IA,Black Hawk,,culex restuans,42989,,mosquito,Culex
W2018,,,IA,Black Hawk,,culex restuans,42989,,mosquito,Culex
W1378,,,LA,Bossier,,culex quinq.,42955,,mosquito,Culex
ON994910,West Nile virus,USA,CT,Brandford,,crow,44458,"    Direct Submission
  ",bird,Passeriformes
W1393,,,MN,Brown,,crow,37475,,bird,Passeriformes
W122,,,CA,Butte,,ca scrub jay,38943,,bird,Passeriformes
W124,,,CA,Butte,,ca scrub jay,39254,,bird,Passeriformes
W154,,,CA,Butte,,ca scrub jay,41493,,bird,Passeriformes
W158,,,CA,Butte,,ca scrub jay,41506,,bird,Passeriformes
W202,,,CA,Butte,,culex erythrothorax,41500,,mosquito,Culex
W229,,,CA,Butte,,culex tarsalis,42200,,mosquito,Culex
W116,,,CA,Butte,,yellow billed magpie,38191,,bird,Passeriformes
W172,,,CA,Butte,,yellow billed magpie,42977,,bird,Passeriformes
W174,,,CA,Butte,,yellow billed magpie,42978,,bird,Passeriformes
W1338,,,LA,Caddo,,culex quinq.,43306,,mosquito,Culex
W1369,,,LA,Caddo,,culex quinq.,42944,,mosquito,Culex
W1374,,,LA,Caddo,,culex quinq.,42933,,mosquito,Culex
W1375,,,LA,Caddo,,culex quinq.,42951,,mosquito,Culex
W128,,,CA,Calaveras,,oak titmouse,39672,,bird,Passeriformes
W1398,,,MN,Carver,,blue jay,37475,,bird,Blue Jay
W1439,,,MN,Carver,,,37827,,,
W1427,,,MN,Cass,,,37810,,,
W1493,,,MN,Cass,,,38581,,,
KX547533,West Nile virus,USA,NY,Cattaraugus county,,corvus brachyrhynchos,38127,"    Direct Submission
  ",bird,American Crow
KX547246,West Nile virus,USA,NY,Chemung county,,corvus brachyrhynchos,37505,"    Direct Submission
  ",bird,American Crow
W0989,,,NH,Cheshire,,culex pipiens,43370,,mosquito,Culex
W0972,,,NH,Cheshire,,culex salinarius,43328,,mosquito,Culex
W1422,,,MN,Chippewa,,,37819,,,
W1890,,,IA,City of Des Moines,,culex restuans,44074,,mosquito,Culex
DQ080051,,,AZ,Cochise County,,culex tarsalis,2003,,mosquito,Culex
KX547296,West Nile virus,USA,NY,Columbia county,,corvus brachyrhynchos,38118,"    Direct Submission
  ",bird,American Crow
KX547518,West Nile virus,USA,NY,Columbia county,,corvus brachyrhynchos,40056,"    Direct Submission
  ",bird,American Crow
KX547611,West Nile virus,USA,NY,Columbia county,,corvus brachyrhynchos,40052,"    Direct Submission
  ",bird,American Crow
KX547468,West Nile virus,USA,NY,Columbia county,,culex sp.,37844,"    Direct Submission
  ",mosquito,Culex
KX547480,West Nile virus,USA,NY,Columbia county,,culex sp.,37886,"    Direct Submission
  ",mosquito,Culex
W169,,,CA,ContraCosta,,american crow,42942,,bird,American Crow
W130,,,CA,ContraCosta,,ca scrub jay,39678,,bird,Passeriformes
W217,,,CA,ContraCosta,,culex tarsalis,41827,,mosquito,Culex
W224,,,CA,ContraCosta,,culex tarsalis,42170,,mosquito,Culex
W1525,,,IL,Cook,,culex restuans,43293,,mosquito,Culex
W1529,,,IL,Cook,,culex restuans,43293,,mosquito,Culex
W1530,,,IL,Cook,,culex restuans,43293,,mosquito,Culex
W1531,,,IL,Cook,,culex restuans,43293,,mosquito,Culex
W1537,,,IL,Cook,,culex restuans,43300,,mosquito,Culex
W1540,,,IL,Cook,,culex restuans,43300,,mosquito,Culex
W1564,,,IL,Cook,,culex restuans,43307,,mosquito,Culex
W1568,,,IL,Cook,,culex restuans,43307,,mosquito,Culex
W1580,,,IL,Cook,,culex restuans,43307,,mosquito,Culex
W1630,,,IL,Cook,,culex restuans,43321,,mosquito,Culex
W1633,,,IL,Cook,,culex restuans,43321,,mosquito,Culex
W1647,,,IL,Cook,,culex restuans,43328,,mosquito,Culex
W1668,,,IL,Cook,,culex restuans,43328,,mosquito,Culex
W1670,,,IL,Cook,,culex restuans,43328,,mosquito,Culex
W1517,,,IL,Cook,,culex sp.,43286,,mosquito,Culex
W1538,,,IL,Cook,,culex sp.,43300,,mosquito,Culex
W1586,,,IL,Cook,,culex sp.,43314,,mosquito,Culex
W1614,,,IL,Cook,,culex sp.,43321,,mosquito,Culex
W1638,,,IL,Cook,,culex sp.,43321,,mosquito,Culex
W1648,,,IL,Cook,,culex sp.,43328,,mosquito,Culex
W1656,,,IL,Cook,,culex sp.,43328,,mosquito,Culex
W1685,,,IL,Cook,,culex sp.,43335,,mosquito,Culex
W1702,,,IL,Cook,,culex sp.,43342,,mosquito,Culex
W1705,,,IL,Cook,,culex sp.,43342,,mosquito,Culex
W1428,,,MN,Crow Wing,,,37812,,,
W1440,,,MN,Crow Wing,,,37831,,,
W1415,,,MN,Dakota,,,37819,,,
W1431,,,MN,Dakota,,,37821,,,
W1454,,,MN,Dakota,,,38174,,,
W1455,,,MN,Dakota,,,38171,,,
W1460,,,MN,Dakota,,,38178,,,
W1469,,,MN,Dakota,,,38188,,,
W1495,,,MN,Dakota,,,38586,,,
W1962,,,IA,Dickinson,,culex tarsalis,42933,,mosquito,Culex
W1306,,,LA,EBR,,culex quinq.,42921,,mosquito,Culex
W1326,,,LA,EBR,,culex quinq.,43345,,mosquito,Culex
W1330,,,LA,EBR,,culex quinq.,43345,,mosquito,Culex
W1336,,,LA,EBR,,culex quinq.,43334,,mosquito,Culex
OK631659,West Nile virus,USA,NY,Erie County,,culex pipiens restuans complex,41506,"    Adaptive evolution of West Nile virus facilitated increased
            transmissibility and prevalence in New York State
  ",mosquito,Culex
OK631661,West Nile virus,USA,NY,Erie County,,culex pipiens restuans complex,42620,"    Adaptive evolution of West Nile virus facilitated increased
            transmissibility and prevalence in New York State
  ",mosquito,Culex
W1451,,,MN,Fillmore,,,38166,,,
W1391,,,MN,Fillmore,,crow,37476,,bird,Passeriformes
W0842,,,OH,Franklin,,,43298,,,
W0856,,,OH,Franklin,,,43299,,,
W1900,,,IA,Fremont,,culex pipiens,42590,,mosquito,Culex
W126,,,CA,Fresno,,ca scrub jay,39257,,bird,Passeriformes
W139,,,CA,Fresno,,ca scrub jay,40392,,bird,Passeriformes
W186,,,CA,Fresno,,culex quinquefasciatus,40022,,mosquito,Culex
W212,,,CA,Fresno,,culex quinquefasciatus,41810,,mosquito,Culex
W220,,,CA,Fresno,,culex quinquefasciatus,41830,,mosquito,Culex
W226,,,CA,Fresno,,culex quinquefasciatus,42199,,mosquito,Culex
W233,,,CA,Fresno,,culex quinquefasciatus,42550,,mosquito,Culex
W235,,,CA,Fresno,,culex quinquefasciatus,42552,,mosquito,Culex
W198,,,CA,Fresno,,culex stigmatosoma,41131,,mosquito,Culex
W188,,,CA,Fresno,,culex tarsalis,40402,,mosquito,Culex
W199,,,CA,Fresno,,culex tarsalis,41135,,mosquito,Culex
W242,,,CA,Fresno,,culex tarsalis,42922,,mosquito,Culex
W243,,,CA,Fresno,,culex tarsalis,42922,,mosquito,Culex
W0920,,,WA,Grant,,magpie,2015,,bird,Passeriformes
W0939,,,WA,Grant,,,2015,,,
W0940,,,WA,Grant,,,2016,,,
W0941,,,WA,Grant,,,2016,,,
W0945,,,WA,Grant,,,2017,,,
AF206518,West Nile virus,USA,CT,Greenwich-Stanford town,,culex pipiens,,"    Isolation of West Nile virus from mosquitoes, crows, and a Cooper's
            hawk in Connecticut
  ",mosquito,Culex
GU827998,,,TX,Hall County,,blue jay,2002,,bird,Blue Jay
GU828000,,,TX,Hall County,,bluejay,2003,,bird,Blue Jay
GU828001,,,TX,Hall County,,culex quinquefasciatus,2003,,mosquito,Culex
GU828002,,,TX,Hall County,,culex quinquefasciatus,2003,,mosquito,Culex
KT862844,West Nile virus,USA,TX,Harris County,,american crow,40784,"    Deep Insights into the West Nile Virus Genome-Natural Features of
            Viral Evolution
  ",bird,American Crow
KT862843,West Nile virus,USA,TX,Harris County,,blue jay,40429,"    Deep Insights into the West Nile Virus Genome-Natural Features of
            Viral Evolution
  ",bird,Blue Jay
DQ164206,West Nile virus,USA,TX,Harris County,,bluejay,2004,"    Phylogenetic analysis of North American West Nile virus isolates,
            2001-2004: evidence for the emergence of a dominant genotype
  ",bird,Blue Jay
W1392,,,MN,Hennepin,,crow,37476,,bird,Passeriformes
W1397,,,MN,Hennepin,,crow,37475,,bird,Passeriformes
W1399,,,MN,Hennepin,,crow,37475,,bird,Passeriformes
W1408,,,MN,Hennepin,,crow,37475,,bird,Passeriformes
W1412,,,MN,Hennepin,,crow,37475,,bird,Passeriformes
W1413,,,MN,Hennepin,,,37817,,,
W1418,,,MN,Hennepin,,,37819,,,
W1424,,,MN,Hennepin,,,37820,,,
W1425,,,MN,Hennepin,,,37820,,,
W1426,,,MN,Hennepin,,,37820,,,
W1430,,,MN,Hennepin,,,37820,,,
W1444,,,MN,Hennepin,,,38163,,,
W1459,,,MN,Hennepin,,,38171,,,
W1472,,,MN,Hennepin,,,38182,,,
W1483,,,MN,Hennepin,,,38566,,,
W1486,,,MN,Hennepin,,,38565,,,
W1496,,,MN,Hennepin,,,38586,,,
W0967,,,NH,Hillsborough,,ae. cinereus,43325,,mosquito,Aedes and Ochlerotatus
W0968,,,NH,Hillsborough,,cq. perturbans,43325,,mosquito,Psorophora and Coquillettidia
W0957,,,NH,Hillsborough,,culex pipiens,42957,,mosquito,Culex
W0971,,,NH,Hillsborough,,culex pipiens,43328,,mosquito,Culex
W0977,,,NH,Hillsborough,,culex pipiens,43342,,mosquito,Culex
W0978,,,NH,Hillsborough,,culex pipiens,43342,,mosquito,Culex
W0954,,,NH,Hillsborough,,culex pipiens/restuans,42947,,mosquito,Culex
W0955,,,NH,Hillsborough,,culex pipiens/restuans,42948,,mosquito,Culex
W0963,,,NH,Hillsborough,,culex pipiens/restuans,43297,,mosquito,Culex
W0964,,,NH,Hillsborough,,culex pipiens/restuans,43319,,mosquito,Culex
W0966,,,NH,Hillsborough,,culex pipiens/restuans,43325,,mosquito,Culex
W0969,,,NH,Hillsborough,,culex pipiens/restuans,43326,,mosquito,Culex
W0970,,,NH,Hillsborough,,culex pipiens/restuans,43332,,mosquito,Culex
W0952,,,NH,Hillsborough,,culex restuans,42256,,mosquito,Culex
W0973,,,NH,Hillsborough,,oc. canadensis,43334,,other_species,
W0974,,,NH,Hillsborough,,ps. ferox,43334,,mosquito,Psorophora and Coquillettidia
DQ080055,,,CA,Imperial Valley,,culex tarsalis,2003,,mosquito,Culex
DQ080056,,,CA,Imperial Valley,,culex tarsalis,2003,,mosquito,Culex
W0942,,,OR,Jackson,,,2016,,,
GU828003,,,TX,Jefferson County,,mourning dove,2003,,bird,Columbiformes
W0943,,,OR,Josephine,,crow,2016,,bird,Passeriformes
W1421,,,MN,Kandiyohi,,,37820,,,
W1437,,,MN,Kandiyohi,,,37830,,,
W1474,,,MN,Kandiyohi,,,38554,,,
W1475,,,MN,Kandiyohi,,,38554,,,
W253,,,CA,Kern,,american crow,38210,,bird,American Crow
W342,,,CA,Kern,,american crow,42920,,bird,American Crow
W257,,,CA,Kern,,american robin,38519,,bird,Passeriformes
W272,,,CA,Kern,,american robin,38911,,bird,Passeriformes
W256,,,CA,Kern,,brewer's blackbird,38238,,bird,Passeriformes
W274,,,CA,Kern,,ca scrub jay,38929,,bird,Passeriformes
W275,,,CA,Kern,,ca scrub jay,38930,,bird,Passeriformes
W276,,,CA,Kern,,ca scrub jay,38931,,bird,Passeriformes
W278,,,CA,Kern,,ca scrub jay,38938,,bird,Passeriformes
W280,,,CA,Kern,,ca scrub jay,38944,,bird,Passeriformes
W284,,,CA,Kern,,ca scrub jay,39240,,bird,Passeriformes
W286,,,CA,Kern,,ca scrub jay,39247,,bird,Passeriformes
W287,,,CA,Kern,,ca scrub jay,39253,,bird,Passeriformes
W288,,,CA,Kern,,ca scrub jay,39255,,bird,Passeriformes
W289,,,CA,Kern,,ca scrub jay,39258,,bird,Passeriformes
W290,,,CA,Kern,,ca scrub jay,39258,,bird,Passeriformes
W291,,,CA,Kern,,ca scrub jay,39262,,bird,Passeriformes
W293,,,CA,Kern,,ca scrub jay,39268,,bird,Passeriformes
W294,,,CA,Kern,,ca scrub jay,39272,,bird,Passeriformes
W295,,,CA,Kern,,ca scrub jay,39272,,bird,Passeriformes
W296,,,CA,Kern,,ca scrub jay,39272,,bird,Passeriformes
W297,,,CA,Kern,,ca scrub jay,39275,,bird,Passeriformes
W298,,,CA,Kern,,ca scrub jay,39276,,bird,Passeriformes
W305,,,CA,Kern,,ca scrub jay,39972,,bird,Passeriformes
W307,,,CA,Kern,,ca scrub jay,39979,,bird,Passeriformes
W313,,,CA,Kern,,ca scrub jay,40371,,bird,Passeriformes
W314,,,CA,Kern,,ca scrub jay,40378,,bird,Passeriformes
W319,,,CA,Kern,,ca scrub jay,40385,,bird,Passeriformes
W325,,,CA,Kern,,ca scrub jay,40763,,bird,Passeriformes
W339,,,CA,Kern,,ca scrub jay,41435,,bird,Passeriformes
W299,,,CA,Kern,,costa's hummingbird,39626,,bird,Other Birds
W344,,,CA,Kern,,culex quinquefasciatus,38204,,mosquito,Culex
W349,,,CA,Kern,,culex quinquefasciatus,38210,,mosquito,Culex
W351,,,CA,Kern,,culex quinquefasciatus,38211,,mosquito,Culex
W353,,,CA,Kern,,culex quinquefasciatus,38211,,mosquito,Culex
W354,,,CA,Kern,,culex quinquefasciatus,38212,,mosquito,Culex
W355,,,CA,Kern,,culex quinquefasciatus,38212,,mosquito,Culex
W356,,,CA,Kern,,culex quinquefasciatus,38251,,mosquito,Culex
W357,,,CA,Kern,,culex quinquefasciatus,38253,,mosquito,Culex
W359,,,CA,Kern,,culex quinquefasciatus,38534,,mosquito,Culex
W364,,,CA,Kern,,culex quinquefasciatus,38540,,mosquito,Culex
W365,,,CA,Kern,,culex quinquefasciatus,38547,,mosquito,Culex
W366,,,CA,Kern,,culex quinquefasciatus,38547,,mosquito,Culex
W367,,,CA,Kern,,culex quinquefasciatus,38547,,mosquito,Culex
W374,,,CA,Kern,,culex quinquefasciatus,38919,,mosquito,Culex
W376,,,CA,Kern,,culex quinquefasciatus,38919,,mosquito,Culex
W377,,,CA,Kern,,culex quinquefasciatus,38919,,mosquito,Culex
W378,,,CA,Kern,,culex quinquefasciatus,38919,,mosquito,Culex
W382,,,CA,Kern,,culex quinquefasciatus,38933,,mosquito,Culex
W383,,,CA,Kern,,culex quinquefasciatus,38933,,mosquito,Culex
W386,,,CA,Kern,,culex quinquefasciatus,39241,,mosquito,Culex
W387,,,CA,Kern,,culex quinquefasciatus,39248,,mosquito,Culex
W388,,,CA,Kern,,culex quinquefasciatus,39255,,mosquito,Culex
W389,,,CA,Kern,,culex quinquefasciatus,39297,,mosquito,Culex
W390,,,CA,Kern,,culex quinquefasciatus,39297,,mosquito,Culex
W391,,,CA,Kern,,culex quinquefasciatus,39309,,mosquito,Culex
W393,,,CA,Kern,,culex quinquefasciatus,39309,,mosquito,Culex
W394,,,CA,Kern,,culex quinquefasciatus,39309,,mosquito,Culex
W395,,,CA,Kern,,culex quinquefasciatus,39309,,mosquito,Culex
W396,,,CA,Kern,,culex quinquefasciatus,39309,,mosquito,Culex
W397,,,CA,Kern,,culex quinquefasciatus,39311,,mosquito,Culex
W398,,,CA,Kern,,culex quinquefasciatus,39981,,mosquito,Culex
W399,,,CA,Kern,,culex quinquefasciatus,39981,,mosquito,Culex
W403,,,CA,Kern,,culex quinquefasciatus,40008,,mosquito,Culex
W404,,,CA,Kern,,culex quinquefasciatus,40009,,mosquito,Culex
W406,,,CA,Kern,,culex quinquefasciatus,40016,,mosquito,Culex
W407,,,CA,Kern,,culex quinquefasciatus,40022,,mosquito,Culex
W408,,,CA,Kern,,culex quinquefasciatus,40023,,mosquito,Culex
W409,,,CA,Kern,,culex quinquefasciatus,40024,,mosquito,Culex
W410,,,CA,Kern,,culex quinquefasciatus,40060,,mosquito,Culex
W412,,,CA,Kern,,culex quinquefasciatus,40344,,mosquito,Culex
W413,,,CA,Kern,,culex quinquefasciatus,40354,,mosquito,Culex
W414,,,CA,Kern,,culex quinquefasciatus,40358,,mosquito,Culex
W417,,,CA,Kern,,culex quinquefasciatus,40367,,mosquito,Culex
W418,,,CA,Kern,,culex quinquefasciatus,40367,,mosquito,Culex
W419,,,CA,Kern,,culex quinquefasciatus,40368,,mosquito,Culex
W420,,,CA,Kern,,culex quinquefasciatus,40368,,mosquito,Culex
W421,,,CA,Kern,,culex quinquefasciatus,40387,,mosquito,Culex
W426,,,CA,Kern,,culex quinquefasciatus,40456,,mosquito,Culex
W436,,,CA,Kern,,culex quinquefasciatus,40751,,mosquito,Culex
W493,,,CA,Kern,,culex quinquefasciatus,42914,,mosquito,Culex
W350,,,CA,Kern,,culex tarsalis,38210,,mosquito,Culex
W358,,,CA,Kern,,culex tarsalis,38524,,mosquito,Culex
W362,,,CA,Kern,,culex tarsalis,38539,,mosquito,Culex
W363,,,CA,Kern,,culex tarsalis,38539,,mosquito,Culex
W368,,,CA,Kern,,culex tarsalis,38552,,mosquito,Culex
W370,,,CA,Kern,,culex tarsalis,38909,,mosquito,Culex
W372,,,CA,Kern,,culex tarsalis,38909,,mosquito,Culex
W384,,,CA,Kern,,culex tarsalis,39238,,mosquito,Culex
W385,,,CA,Kern,,culex tarsalis,39239,,mosquito,Culex
W400,,,CA,Kern,,culex tarsalis,39994,,mosquito,Culex
W401,,,CA,Kern,,culex tarsalis,39995,,mosquito,Culex
W402,,,CA,Kern,,culex tarsalis,40008,,mosquito,Culex
W405,,,CA,Kern,,culex tarsalis,40009,,mosquito,Culex
W411,,,CA,Kern,,culex tarsalis,40060,,mosquito,Culex
W415,,,CA,Kern,,culex tarsalis,40360,,mosquito,Culex
W422,,,CA,Kern,,culex tarsalis,40408,,mosquito,Culex
W423,,,CA,Kern,,culex tarsalis,40415,,mosquito,Culex
W427,,,CA,Kern,,culex tarsalis,40702,,mosquito,Culex
W428,,,CA,Kern,,culex tarsalis,40731,,mosquito,Culex
W429,,,CA,Kern,,culex tarsalis,40732,,mosquito,Culex
W430,,,CA,Kern,,culex tarsalis,40737,,mosquito,Culex
W431,,,CA,Kern,,culex tarsalis,40737,,mosquito,Culex
W432,,,CA,Kern,,culex tarsalis,40737,,mosquito,Culex
W433,,,CA,Kern,,culex tarsalis,40737,,mosquito,Culex
W437,,,CA,Kern,,culex tarsalis,40759,,mosquito,Culex
W440,,,CA,Kern,,culex tarsalis,40773,,mosquito,Culex
W485,,,CA,Kern,,culex tarsalis,42577,,mosquito,Culex
W133,,,CA,Kern,,house finch,39982,,bird,Passeriformes
W266,,,CA,Kern,,house finch,38565,,bird,Passeriformes
W281,,,CA,Kern,,house finch,38946,,bird,Passeriformes
W304,,,CA,Kern,,house finch,39978,,bird,Passeriformes
W317,,,CA,Kern,,house finch,40382,,bird,Passeriformes
W264,,,CA,Kern,,house sparrow,38559,,bird,Passeriformes
W269,,,CA,Kern,,house sparrow,38583,,bird,Passeriformes
W279,,,CA,Kern,,house sparrow,38943,,bird,Passeriformes
W308,,,CA,Kern,,house sparrow,39988,,bird,Passeriformes
W310,,,CA,Kern,,house sparrow,40007,,bird,Passeriformes
W312,,,CA,Kern,,house sparrow,40365,,bird,Passeriformes
W318,,,CA,Kern,,house sparrow,40385,,bird,Passeriformes
W277,,,CA,Kern,,raven,38932,,bird,Passeriformes
W259,,,CA,Kern,,sparrow,38530,,bird,Passeriformes
W306,,,CA,Kern,,sparrow,39980,,bird,Passeriformes
W255,,,CA,Kern,,western scrub jay,38222,,bird,Passeriformes
W260,,,CA,Kern,,western scrub jay,38533,,bird,Passeriformes
W263,,,CA,Kern,,western scrub jay,38548,,bird,Passeriformes
W265,,,CA,Kern,,western scrub jay,38561,,bird,Passeriformes
W267,,,CA,Kern,,western scrub jay,38573,,bird,Passeriformes
W268,,,CA,Kern,,western scrub jay,38579,,bird,Passeriformes
W270,,,CA,Kern,,western scrub jay,38593,,bird,Passeriformes
W271,,,CA,Kern,,western scrub jay,38596,,bird,Passeriformes
W134,,,CA,Kings,,ca scrub jay,39987,,bird,Passeriformes
W192,,,CA,Kings,,culex pipiens,41156,,mosquito,Culex
W182,,,CA,Kings,,culex quinquefasciatus,39283,,mosquito,Culex
W185,,,CA,Kings,,culex quinquefasciatus,40022,,mosquito,Culex
W240,,,CA,Kings,,culex tarsalis,42558,,mosquito,Culex
W245,,,CA,Kings,,culex tarsalis,42916,,mosquito,Culex
W246,,,CA,Kings,,culex tarsalis,42915,,mosquito,Culex
W0921,,,WA,Kittitas,,magpie,2015,,bird,Passeriformes
W0946,,,OR,Klamath,,swainson's hawk,2017,,bird,Accipitriformes
W204,,,CA,Lake,,culex erythrothorax,41528,,mosquito,Culex
W201,,,CA,Lake,,culex stigmatosoma,41507,,mosquito,Culex
W230,,,CA,Lake,,culex tarsalis,42206,,mosquito,Culex
W1753,,,CO,Larimer,,culex pipiens,41477,,mosquito,Culex
W1773,,,CO,Larimer,,culex pipiens,41498,,mosquito,Culex
W1782,,,CO,Larimer,,culex pipiens,41512,,mosquito,Culex
W1783,,,CO,Larimer,,culex pipiens,41512,,mosquito,Culex
W1784,,,CO,Larimer,,culex pipiens,41512,,mosquito,Culex
W1795,,,CO,Larimer,,culex pipiens,41862,,mosquito,Culex
W1796,,,CO,Larimer,,culex pipiens,41862,,mosquito,Culex
W1799,,,CO,Larimer,,culex pipiens,41862,,mosquito,Culex
W1801,,,CO,Larimer,,culex pipiens,41869,,mosquito,Culex
W1751,,,CO,Larimer,,culex tarsalis,41477,,mosquito,Culex
W1752,,,CO,Larimer,,culex tarsalis,41477,,mosquito,Culex
W1754,,,CO,Larimer,,culex tarsalis,41477,,mosquito,Culex
W1755,,,CO,Larimer,,culex tarsalis,41477,,mosquito,Culex
W1756,,,CO,Larimer,,culex tarsalis,41477,,mosquito,Culex
W1757,,,CO,Larimer,,culex tarsalis,41477,,mosquito,Culex
