Name,organism,country,city/state,county,isolation_source,host,collection_date, 
JN183894,West Nile virus,,,,kidney,Gallus gallus,,"    Direct Submission
  "
JN183895,West Nile virus,,,,midgut,Culex sp.,,"    Direct Submission
  "
JN183896,West Nile virus,,,,midgut,Culex sp.,,"    Direct Submission
  "
JN183897,West Nile virus,,,,midgut,Culex sp.,,"    Direct Submission
  "
JN367277,West Nile virus,USA,NY,,brain,Corvus brachyrhynchos,2004,"    Direct Submission
  "
JN393308,West Nile virus,South Africa," Tiegerpoort, Pretoria",,,horse,39553,"    Characterization of the genome sequence of a West Nile virus
            lineage 2 strain isolated from the brain of horse with fatal
            encephalitis
  "
JN819305,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  "
JN819306,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  "
JN819307,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  "
JN819309,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  "
JN819310,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  "
JN819311,West Nile virus,,,,cell supernatant,mosquito,,"    Direct Submission
  "
JN819312,West Nile virus,,,,cell supernatant,mosquito,,"    Direct Submission
  "
JN819313,West Nile virus,,,,cell supernatant,mosquito,,"    Direct Submission
  "
JN819315,West Nile virus,,,,cell supernatant,bird,,"    Direct Submission
  "
JN819316,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  "
JN819317,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  "
JN819318,West Nile virus,,,,cell supernatant,bird,,"    Direct Submission
  "
JN819319,West Nile virus,,,,cell supernatant,bird,,"    Direct Submission
  "
JN819320,West Nile virus,,,,cell supernatant,bird,,"    Direct Submission
  "
JN819321,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  "
JN819323,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  "
JN819324,West Nile virus,,,,cell supernatant,,,"    Direct Submission
  "
JN858069,West Nile virus,Italy,,,urine from infected transplant                     recipient,Homo sapiens; age: 48; sex: male,40787,"    Direct Submission
  "
JN858070,West Nile virus,Italy,,,urine,Homo sapiens; age: 56; sex: male,40787,"    Human case of autochthonous West Nile virus lineage 2 infection in
            Italy, September 2011
  "
JQ700437,West Nile virus,USA,,,,Culex pipiens,2003,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  "
JQ700438,West Nile virus,USA,,,,Homo sapiens,2011,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  "
JQ700439,West Nile virus,USA,,,,Homo sapiens,2011,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  "
JQ700440,West Nile virus,USA,,,,Homo sapiens,2011,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  "
JQ700441,West Nile virus,USA,,,,Homo sapiens,2011,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  "
JQ700442,West Nile virus,USA,,,,Homo sapiens,2011,"    Evolutionary dynamics of west nile virus in the United States,
            1999-2011: phylogeny, selection pressure and evolutionary
            time-scale analysis
  "
JQ928174,West Nile virus,Italy," Veneto region, Treviso",,plasma from blood donor,Homo sapiens,40787,"    New endemic West Nile virus lineage 1a in northern Italy, July 2012
  "
JQ928175,West Nile virus,Italy," Veneto region, Treviso",,urine from infected transplant                     recipient,Homo sapiens,40787,"    New endemic West Nile virus lineage 1a in northern Italy, July 2012
  "
JX041628,West Nile virus,Azerbaijan,,,,Ornithodoros capensis,1970,"    Direct Submission
  "
JX041629,West Nile virus,Azerbaijan,,,,bird,1967,"    Direct Submission
  "
JX041630,West Nile virus,Azerbaijan,,,,bird,1967,"    Direct Submission
  "
JX041631,West Nile virus,Ukraine, Lviv region,,,bird,1980,"    Direct Submission
  "
JX041632,West Nile virus,India, Madras state,,,Culex vishnui (mosquito),1955,"    Direct Submission
  "
JX041634,West Nile virus,Russia, Astrakhan region,,,Homo sapiens,1999,"    Direct Submission
  "
JX070655,West Nile virus,Tajikistan,,,,,,"    Direct Submission
  "
JX123030,West Nile virus,Australia,,,,horse,40609,"    Molecular characterisation and phylogenetic analysis of Murray
            Valley Encephalitis virus and West Nile Virus (Kunjin subtype) from
            an arbovirus disease outbreak in horses in Victoria, Australia 2011
  "
JX123031,West Nile virus,Australia,,,,horse,40617,"    Molecular characterisation and phylogenetic analysis of Murray
            Valley Encephalitis virus and West Nile Virus (Kunjin subtype) from
            an arbovirus disease outbreak in horses in Victoria, Australia 2011
  "
JX442279,West Nile virus,China,,,BHK 21 cells one passage,Culex pipiens pipiens,2011,"    Human infection with West Nile Virus, Xinjiang, China, 2011
  "
JX556213,West Nile virus,Italy," Veneto region, Venice province",,cultured viral isolate from blood                     donor,Homo sapiens,41124,"    Clinical and virological findings in the ongoing outbreak of West
            Nile virus Livenza strain in northern Italy, July to September 2012
  "
KC407666,West Nile virus,,,,,,,"    Direct Submission
  "
KC407667,West Nile virus,Spain,,,,mouse,2007,"    Strain specific autophagic response in cells infected with the West
            Nile and Usustu flaviviruses
  "
KC407673,West Nile virus,Serbia,,,,northern goshawk,2012,"    Monitoring of West Nile infection in wild birds in Serbia during
            2012: first isolation and characterization of WNV strains from
            Serbia
  "
KC496015,West Nile virus,Hungary,,,,horse,2010,"    Genetic comparison of lineage 2 West Nile viruses in Central and
            Southern Europe
  "
KC496016,West Nile virus,Serbia,,,,Culex pipiens,2010,"    Genetic comparison of lineage 2 West Nile viruses in Central and
            Southern Europe
  "
KC601756,West Nile virus,India, Kerala,,,Homo sapiens,40575,"    Complete genome sequence of west nile virus isolated from alappuzha
            district, kerala, India
  "
KC711057,West Nile virus,USA,TX, Denton,,Culex quinquefasciatus,41059,"    Continued evolution of West Nile virus, Houston, Texas, USA,
            2002-2012
  "
KC711059,West Nile virus,USA,TX," Fairview, Collin county",,Culex restuans,41191,"    Continued evolution of West Nile virus, Houston, Texas, USA,
            2002-2012
  "
KC736486,,,TX,,,,2012,
KC736487,,,TX,,,,2012,
KC736488,,,TX,,,,2012,
KC736489,,,TX,,,,2012,
KC736490,,,TX,,,,2012,
KC736491,,,TX,,,,2012,
KC736492,,,TX,,,,2012,
KC736493,,,TX,,,,2012,
KC736494,,,TX,,,,2012,
KC736495,,,TX,,,,2012,
KC736496,,,TX,,,,2012,
KC736497,,,TX,,,,2012,
KC736498,,,TX,,,,2012,
KC736499,,,TX,,,,2012,
KC736500,,,TX,,,,2012,
KC736501,,,TX,,,,2012,
KC736502,,,TX,,,,2012,
KC954092,West Nile virus,Italy," Veneto region, Portogruaro",,cultured from urine,Homo sapiens,41153,"    Large human outbreak of West Nile virus infection in north-eastern
            Italy in 2012
  "
KF179639,West Nile virus,Greece, Kavala prefecture,,urine from 72 year old female,Homo sapiens,41153,"    Whole genome sequencing and phylogenetic analysis of West Nile
            virus lineage 1 and lineage 2 from human cases of infection, Italy,
            August 2013
  "
KF179640,West Nile virus,Austria,,,,goshawk,2008,"    Whole genome sequencing and phylogenetic analysis of West Nile
            virus lineage 1 and lineage 2 from human cases of infection, Italy,
            August 2013
  "
KF234080,West Nile virus,Italy, Emilia-Romagna region,,patient with neuroinvasive WNV,Homo sapiens,2009,"    Characterization of the mouse neuroinvasiveness of selected
            European strains of west nile virus
  "
KF367469,West Nile virus,British Virgin Islands, Necker Island,,heart,flamingo,41363,"    West Nile Virus in the British Virgin Islands
  "
KF588365,West Nile virus,Italy," Veneto region, Rovigo",,urine,Homo sapiens,41487,"    Whole genome sequencing and phylogenetic analysis of West Nile
            virus lineage 1 and lineage 2 from human cases of infection, Italy,
            August 2013
  "
KF647248,West Nile virus,Italy," Veneto region, Rovigo",,plasma,Homo sapiens,41487,"    Whole genome sequencing and phylogenetic analysis of West Nile
            virus lineage 1 and lineage 2 from human cases of infection, Italy,
            August 2013
  "
KF647249,West Nile virus,Italy," Veneto region, Rovigo",,urine,Homo sapiens,41487,"    Whole genome sequencing and phylogenetic analysis of West Nile
            virus lineage 1 and lineage 2 from human cases of infection, Italy,
            August 2013
  "
KF647250,West Nile virus,Italy," Veneto region, Rovigo",,urine,Homo sapiens,41487,"    Whole genome sequencing and phylogenetic analysis of West Nile
            virus lineage 1 and lineage 2 from human cases of infection, Italy,
            August 2013
  "
KF647251,West Nile virus,Italy," Veneto region, Padova",,urine,Homo sapiens,41487,"    Whole genome sequencing and phylogenetic analysis of West Nile
            virus lineage 1 and lineage 2 from human cases of infection, Italy,
            August 2013
  "
KF647252,West Nile virus,Italy," Veneto region, Rovigo",,urine,Homo sapiens,41487,"    Whole genome sequencing and phylogenetic analysis of West Nile
            virus lineage 1 and lineage 2 from human cases of infection, Italy,
            August 2013
  "
KF647253,West Nile virus,Italy," Veneto region, Rovigo",,plasma,Homo sapiens,41487,"    Whole genome sequencing and phylogenetic analysis of West Nile
            virus lineage 1 and lineage 2 from human cases of infection, Italy,
            August 2013
  "
KF704147,,,CA,,,,2010,
KF704153,,,AZ,,,,2010,
KF704158,,,AZ,,,,2010,
KJ145799,,,,,,,2005,
KJ145827,,,,,,American Crow  ,2010,
KJ145828,,,,,,American Crow  ,2010,
KJ145829,,,,,,American Crow  ,2010,
KJ145832,,,,,,Lorii,2007,
KJ501096,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2011,"    Direct Submission
  "
KJ501098,West Nile virus,USA,,,mosquito pool,Culex pipiens,2011,"    Direct Submission
  "
KJ501099,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2009,"    Direct Submission
  "
KJ501100,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2009,"    Direct Submission
  "
KJ501101,West Nile virus,USA,,,mosquito pool,Culex pipiens,2009,"    Direct Submission
  "
KJ501102,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2009,"    Direct Submission
  "
KJ501103,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2003,"    Direct Submission
  "
KJ501104,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2003,"    Direct Submission
  "
KJ501105,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2003,"    Direct Submission
  "
KJ501106,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2008,"    Direct Submission
  "
KJ501107,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2003,"    Direct Submission
  "
KJ501108,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2007,"    Direct Submission
  "
KJ501109,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2008,"    Direct Submission
  "
KJ501110,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2009,"    Direct Submission
  "
KJ501111,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2009,"    Direct Submission
  "
KJ501112,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2007,"    Direct Submission
  "
KJ501113,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2008,"    Direct Submission
  "
KJ501114,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2007,"    Direct Submission
  "
KJ501115,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2005,"    Direct Submission
  "
KJ501116,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2008,"    Direct Submission
  "
KJ501119,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2005,"    Direct Submission
  "
KJ501123,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2004,"    Direct Submission
  "
KJ501125,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2004,"    Direct Submission
  "
KJ501126,West Nile virus,USA,,,mosquito pool,mosquito,2007,"    Direct Submission
  "
KJ501127,West Nile virus,USA,,,mosquito pool,mosquito,2008,"    Direct Submission
  "
KJ501128,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2004,"    Direct Submission
  "
KJ501129,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2004,"    Direct Submission
  "
KJ501130,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2008,"    Direct Submission
  "
KJ501131,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2004,"    Direct Submission
  "
KJ501132,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2007,"    Direct Submission
  "
KJ501133,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2008,"    Direct Submission
  "
KJ501134,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2010,"    Direct Submission
  "
KJ501135,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2010,"    Direct Submission
  "
KJ501136,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2010,"    Direct Submission
  "
KJ501137,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2011,"    Direct Submission
  "
KJ501138,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2011,"    Direct Submission
  "
KJ501139,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2011,"    Direct Submission
  "
KJ501140,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2011,"    Direct Submission
  "
KJ501141,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2011,"    Direct Submission
  "
KJ501142,West Nile virus,USA,,,mosquito pool,Culex stigmatosoma,2011,"    Direct Submission
  "
KJ501143,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2011,"    Direct Submission
  "
KJ501144,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2011,"    Direct Submission
  "
KJ501146,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2011,"    Direct Submission
  "
KJ501147,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2008,"    Direct Submission
  "
KJ501148,West Nile virus,USA,,,mosquito pool,Culex stigmatosoma,2011,"    Direct Submission
  "
KJ501149,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2011,"    Direct Submission
  "
KJ501150,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2011,"    Direct Submission
  "
KJ501168,West Nile virus,USA,,,mosquito pool,Culex quinquefasciatus,2007,"    Direct Submission
  "
KJ501170,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2011,"    Direct Submission
  "
KJ501186,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2005,"    Direct Submission
  "
KJ501195,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2007,"    Direct Submission
  "
KJ501206,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2008,"    Direct Submission
  "
KJ501211,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2012,"    Direct Submission
  "
KJ501214,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2012,"    Direct Submission
  "
KJ501217,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2012,"    Direct Submission
  "
KJ501218,West Nile virus,USA,,,mosquito pool,Culex pipiens,2012,"    Direct Submission
  "
KJ501220,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2012,"    Direct Submission
  "
KJ501222,West Nile virus,USA,,,mosquito pool,Culex sp.,2012,"    Direct Submission
  "
KJ501224,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2012,"    Direct Submission
  "
KJ501225,West Nile virus,USA,,,mosquito pool,Culex pipiens,2012,"    Direct Submission
  "
KJ501226,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2012,"    Direct Submission
  "
KJ501229,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2012,"    Direct Submission
  "
KJ501230,West Nile virus,USA,,,mosquito pool,Culex tarsalis,2012,"    Direct Submission
  "
KJ501233,West Nile virus,USA,AR,,kidney and spleen,Cyanocitta cristata,2001,"    Direct Submission
  "
KJ501234,West Nile virus,USA,AR,,kidney and spleen,Cyanocitta cristata,2001,"    Direct Submission
  "
KJ501235,West Nile virus,USA,AR,,kidney and spleen,Cyanocitta cristata,2001,"    Direct Submission
  "
KJ501236,,,CA,,,American White Pelican  ,2009,
KJ501237,,,,,,American White Pelican  ,2008,
KJ501238,,,,,,Ring-billed Gull,2008,
KJ501239,,,,,,Double-crested Cormorant,2008,
KJ501240,,,,,,Double-crested Cormorant,2008,
KJ501241,,,,,,American White Pelican  ,2009,
KJ501242,,,,,,American White Pelican  ,2010,
KJ501243,West Nile virus,USA,,,kidney and spleen,Corvus brachyrhynchos,2001,"    Direct Submission
  "
KJ501244,West Nile virus,USA,MO,,kidney and spleen,Corvus brachyrhynchos,2001,"    Direct Submission
  "
KJ501245,West Nile virus,USA,,,kidney and spleen,Corvus brachyrhynchos,2001,"    Direct Submission
  "
KJ501246,,,,,,American Crow  ,2001,
KJ501247,,,,,,American Crow  ,2001,
KJ501248,,,,,,American Crow  ,2001,
KJ501249,,,,,,American Crow  ,2001,
KJ501250,,,,,,American White Pelican  ,2009,
KJ501251,,,,,,American Crow  ,2009,
KJ501253,,,,,,Least Tern  ,2008,
KJ501254,,,,,,Canada Goose,2008,
KJ501255,,,,,,American White Pelican  ,2008,
KJ501256,,,,,,American White Pelican  ,2009,
KJ501257,,,,,,American Crow  ,2002,
KJ501258,,,,,,Least Tern  ,2007,
KJ501259,,,,,,Least Tern  ,2008,
KJ501260,,,,,,American White Pelican  ,2008,
KJ501261,,,TX,,,Blue Jay  ,2002,
KJ501262,West Nile virus,USA,,,feather,Anas platyrhynchos,2010,"    Direct Submission
  "
KJ501263,,,,,,Blue Jay  ,2002,
KJ501264,,,,,,Blue Jay  ,2001,
KJ501265,,,,,,Blue Jay  ,2002,
KJ501266,,,GA,,,American Crow  ,2002,
KJ501267,West Nile virus,USA,NV,,brain,Pelecanus erythrorhynchos,2005,"    Direct Submission
  "
KJ501268,West Nile virus,USA,NJ,,kidney and spleen,Falco,2001,"    Direct Submission
  "
KJ501269,West Nile virus,USA,NJ,,kidney and spleen,Falco sparverius,2001,"    Direct Submission
  "
KJ501270,West Nile virus,USA,NJ,,kidney and spleen,Cyanocitta cristata,2002,"    Direct Submission
  "
KJ501271,West Nile virus,USA,NJ,,kidney and spleen,Bubo virginianus,2003,"    Direct Submission
  "
KJ501272,West Nile virus,USA,NY,,kidney and spleen,Cyanocitta cristata,2003,"    Direct Submission
  "
KJ501273,West Nile virus,USA,NC,,kidney and spleen,Cyanocitta cristata,2003,"    Direct Submission
  "
KJ501274,West Nile virus,USA,OH,,kidney and spleen,Corvus brachyrhynchos,2001,"    Direct Submission
  "
KJ501275,West Nile virus,USA,OH,,kidney and spleen,Corvus brachyrhynchos,2001,"    Direct Submission
  "
KJ501276,West Nile virus,USA,OH,,kidney and spleen,Bubo virginianus,2002,"    Direct Submission
  "
KJ501277,West Nile virus,USA,PA,,kidney and spleen,Corvus brachyrhynchos,2001,"    Direct Submission
  "
KJ501278,West Nile virus,USA,PA,,kidney and spleen,Corvus brachyrhynchos,2001,"    Direct Submission
  "
KJ501279,West Nile virus,USA,PA,,kidney and spleen,Cyanocitta cristata,2002,"    Direct Submission
  "
KJ501280,West Nile virus,USA,PA,,feather pulp,Corvus brachyrhynchos,2003,"    Direct Submission
  "
KJ501281,West Nile virus,USA,TN,,kidney and spleen,Cyanocitta cristata,2002,"    Direct Submission
  "
KJ501282,West Nile virus,USA,WI,,kidney and spleen,Bubo virginianus,2001,"    Direct Submission
  "
KJ501283,West Nile virus,USA,WI,,kidney and spleen,Corvus brachyrhynchos,2001,"    Direct Submission
  "
KJ501284,West Nile virus,USA,WI,,kidney and spleen,Cyanocitta cristata,2002,"    Direct Submission
  "
KJ501285,West Nile virus,USA,WI,,brain,Pelecanus,2002,"    Direct Submission
  "
KJ501286,West Nile virus,USA,WI,,heart,Accipiter gentilis,2002,"    Direct Submission
  "
KJ501287,West Nile virus,USA,,,kidney and spleen,Cyanocitta cristata,2002,"    Direct Submission
  "
KJ501288,,,,,,American Crow  ,2001,
KJ501289,,,,,,American Crow  ,2001,
KJ501290,,,,,,American Crow  ,2002,
KJ501291,,,,,,American Crow  ,2002,
KJ501292,,,,,,American Crow  ,2001,
KJ501293,,,,,,American Kestrel  ,2003,
KJ501294,,,,,,American Crow  ,2003,
KJ501295,,,,,,Blue Jay  ,2002,
KJ501296,,,,,,Black-billed Magpie  ,2002,
KJ501297,,,,,,American White Pelican  ,2003,
KJ501298,,,,,,Blue Jay  ,2002,
KJ501299,,,,,,American Crow  ,2002,
KJ501300,,,,,,Blue Jay  ,2002,
KJ501301,,,,,,Blue Jay  ,2002,
KJ501302,,,,,,Common Grackle,2002,
KJ501303,,,,,,Blue Jay  ,2002,
KJ501304,,,,,,American Crow  ,2002,
KJ501305,,,,,,American Crow  ,2003,
KJ501306,,,,,,Red-headed Tanager  ,2002,
KJ501307,,,MN,,,American White Pelican  ,2002,
KJ501308,West Nile virus,USA,MN,,brain,Pelecanus erythrorhynchos,2010,"    Direct Submission
  "
KJ501309,West Nile virus,USA,MS,,kidney and spleen,Cyanocitta cristata,2002,"    Direct Submission
  "
KJ501310,West Nile virus,USA,MS,,kidney and spleen,Loriini,2002,"    Direct Submission
  "
KJ501311,West Nile virus,USA,MS,,kidney and spleen,Cyanocitta cristata,2002,"    Direct Submission
  "
KJ501312,West Nile virus,USA,VA,,feather pulp,Corvus brachyrhynchos,2003,"    Direct Submission
  "
KJ501313,West Nile virus,USA,DC,,feather pulp,Turdus migratorius,2003,"    Direct Submission
  "
KJ501314,West Nile virus,USA,DC,,feather pulp,Haemorhous mexicanus,2003,"    Direct Submission
  "
KJ501315,West Nile virus,USA,KS,,kidney and spleen,Corvus brachyrhynchos,2002,"    Direct Submission
  "
KJ501316,,,KS,,,Blue Jay  ,2003,
KJ501317,,,,,,American Crow  ,2001,
KJ501318,,,,,,American Crow  ,2002,
KJ501319,,,,,,American Crow  ,2002,
KJ501320,,,,,,American Crow  ,2003,
KJ501321,,,,,,American Crow  ,2002,
KJ501322,,,,,,American White Pelican  ,2002,
KJ501323,,,,,,American White Pelican  ,2003,
KJ501324,,,,,,American White Pelican  ,2003,
KJ501325,,,MS,,,,2002,
KJ501326,West Nile virus,USA,MT,,feather,Pelecanus erythrorhynchos,2003,"    Direct Submission
  "
KJ501327,West Nile virus,USA,MT,,brain,Haliaeetus leucocephalus,2003,"    Direct Submission
  "
KJ501328,West Nile virus,USA,ND,,kidney and spleen,Buteo jamaicensis,2002,"    Direct Submission
  "
KJ501329,West Nile virus,USA,ND,,"kidney, spleen, and heart",Branta canadensis,2003,"    Direct Submission
  "
KJ501330,West Nile virus,USA,ND,,kidney and spleen,Sternula,2005,"    Direct Submission
  "
KJ501331,West Nile virus,USA,OH,,kidney and spleen,Buteo jamaicensis,2002,"    Direct Submission
  "
KJ501332,West Nile virus,USA,VA,,kidney and spleen,Corvus brachyrhynchos,2001,"    Direct Submission
  "
KJ501333,West Nile virus,USA,VA,,kidney and spleen,Cyanocitta cristata,2002,"    Direct Submission
  "
KJ501334,,,VA,,,American Crow  ,2003,
KJ501335,,,,,,American White Pelican  ,2005,
KJ501336,,,,,,Blue Jay  ,2001,
KJ501337,,,,,,American Crow  ,2002,
KJ501338,,,,,,Blue Jay  ,2002,
KJ501339,,,,,,Blue Jay  ,2002,
KJ501340,,,,,,Boat-tailed Grackle,2003,
KJ501341,,,,,,House Finch,2005,
KJ501342,,,,,,CA condor,2005,
KJ501343,,,,,,American Crow  ,2001,
KJ501344,,,,,,American Crow  ,2002,
KJ501345,,,,,,American Crow  ,2002,
KJ501346,,,,,,American White Pelican  ,2003,
KJ501347,,,,,,American Crow  ,2002,
KJ501348,,,,,,American White Pelican  ,2003,
KJ501349,,,,,,Ring-billed Gull,2003,
KJ501350,,,,,,American White Pelican  ,2003,
KJ501351,,,,,,American Crow  ,2003,
KJ501352,,,,,,American Crow  ,2003,
KJ501353,,,,,,American Crow  ,2003,
KJ501354,,,,,,American Crow  ,2003,
KJ501355,,,,,,Blue Jay  ,2002,
KJ501356,,,,,,Blue Jay  ,2003,
KJ501357,,,,,,Short-eared Owl,2003,
KJ501358,,,,,,Swainson's Hawk,2003,
KJ501359,,,,,,American Crow  ,2003,
KJ501360,,,,,,Blue Jay  ,2003,
KJ501361,,,,,,Blue Jay  ,2001,
KJ501362,,,,,,American Crow  ,2001,
KJ501363,,,,,,American Crow  ,2001,
KJ501364,,,,,,American Crow  ,2002,
KJ501365,,,,,,American Crow  ,2003,
KJ501366,,,,,,American Crow  ,2003,
KJ501367,,,RI,,,American Crow  ,2003,
KJ501368,West Nile virus,USA,TN,,kidney and spleen,Corvus brachyrhynchos,2002,"    Direct Submission
  "
KJ501369,West Nile virus,USA,,,kidney and spleen,Passer domesticus,2002,"    Direct Submission
  "
KJ501370,,,,,,Blue Jay  ,2002,
KJ501371,,,,,,Blue Jay  ,2002,
KJ501372,,,,,,Black Vulture,2003,
KJ501373,,,,,,Blue Jay  ,2002,
KJ501374,,,,,,Red-headed Tanager  ,2001,
KJ501375,,,,,,American Crow  ,2002,
KJ501376,,,,,,Great Horned Owl  ,2002,
KJ501377,,,,,,Great Horned Owl  ,2001,
KJ501378,,,,,,American Crow  ,2001,
KJ501379,,,,,,Blue Jay  ,2001,
KJ501380,,,,,,Great Horned Owl  ,2002,
KJ501381,,,,,,American White Pelican  ,2003,
KJ501382,,,,,,Double-crested Cormorant,2003,
KJ501383,,,,,,Blue Jay  ,2002,
KJ501384,,,,,,Blue Jay  ,2002,
KJ501385,,,,,,Swainson's Hawk,2004,
KJ501386,,,,,,American White Pelican  ,2007,
KJ501387,,,,,,Blue Jay  ,2002,
KJ501388,,,,,,Blue Jay  ,2002,
KJ501389,,,,,,American White Pelican  ,2003,
KJ501390,,,,,,American White Pelican  ,2003,
KJ501391,,,,,,American White Pelican  ,2003,
KJ501392,,,,,,American White Pelican  ,2003,
KJ501393,,,,,,American Crow  ,2001,
KJ501394,,,,,,American Crow  ,2001,
KJ501395,,,,,,American Crow  ,2001,
KJ501396,,,,,,American Crow  ,2003,
KJ501397,,,,,,Blue Jay  ,2002,
KJ501398,,,,,,Brown Pelican,2004,
KJ501399,,,,,,House Finch,2002,
KJ501400,,,,,,House Sparrow  ,2002,
KJ501401,,,,,,American Crow  ,2001,
KJ501402,,,,,,American White Pelican  ,2004,
KJ501403,,,,,,American White Pelican  ,2005,
KJ501404,,,,,,American White Pelican  ,2005,
KJ501405,,,,,,American White Pelican  ,2006,
KJ501406,,,,,,American White Pelican  ,2006,
KJ501407,,,,,,American White Pelican  ,2006,
KJ501408,,,,,,American White Pelican  ,2006,
KJ501409,,,,,,American White Pelican  ,2006,
KJ501410,,,,,,Tree Swallow,2006,
KJ501411,West Nile virus,USA,,,liver and spleen,Passer domesticus,2008,"    Direct Submission
  "
KJ501412,West Nile virus,USA,NE,,liver and spleen,Passer domesticus,2008,"    Direct Submission
  "
KJ501413,West Nile virus,USA,NC,,kidney and spleen,Corvus brachyrhynchos,2004,"    Direct Submission
  "
KJ501414,West Nile virus,USA,ND,,kidney and spleen,Sternula,2005,"    Direct Submission
  "
KJ501415,West Nile virus,USA,,,feather pulp,Pelecanus erythrorhynchos,2006,"    Direct Submission
  "
KJ501416,,,,,,Piping Plover,2006,
KJ501418,,,,,,Least Tern  ,2008,
KJ501419,,,,,,American White Pelican  ,2004,
KJ501420,West Nile virus,USA,,,feather pulp,Pelecanus erythrorhynchos,2004,"    Direct Submission
  "
KJ501421,West Nile virus,USA,SD,,feather pulp,Pelecanus erythrorhynchos,2004,"    Direct Submission
  "
KJ501422,West Nile virus,USA,SD,,feather pulp,Pelecanus erythrorhynchos,2004,"    Direct Submission
  "
KJ501423,West Nile virus,USA,SD,,feather pulp,Pelecanus erythrorhynchos,2004,"    Direct Submission
  "
KJ501424,West Nile virus,USA,SD,,feather pulp,Pelecanus erythrorhynchos,2007,"    Direct Submission
  "
